selected_path,relative_path,collection_folder,scale_family,style,pattern_label,surface_label,mood_tags,key_folder,key_index,major_key,minor_key,normalized_group_id
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/1 Triad/Major/ii - C#m.mid,12 - B Major - G# minor/1 Triad/Major/ii - C#m.mid,1 Triad,Major,straight,ii,C#m,,12 - B Major - G# minor,12,B Major,G# minor,chord|1 Triad|Major|ii|m
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/1 Triad/Major/vii - Bdim.mid,01 - C Major - A minor/1 Triad/Major/vii - Bdim.mid,1 Triad,Major,straight,vii,Bdim,,01 - C Major - A minor,1,C Major,A minor,chord|1 Triad|Major|vii|dim
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/1 Triad/Major/vii - Fdim.mid,07 - Gb Major - Eb minor/1 Triad/Major/vii - Fdim.mid,1 Triad,Major,straight,vii,Fdim,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|1 Triad|Major|vii|dim
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/1 Triad/Major/vii - A#dim.mid,12 - B Major - G# minor/1 Triad/Major/vii - A#dim.mid,1 Triad,Major,straight,vii,A#dim,,12 - B Major - G# minor,12,B Major,G# minor,chord|1 Triad|Major|vii|dim
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/1 Triad/Major/vi - Am.mid,01 - C Major - A minor/1 Triad/Major/vi - Am.mid,1 Triad,Major,straight,vi,Am,,01 - C Major - A minor,1,C Major,A minor,chord|1 Triad|Major|vi|m
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/1 Triad/Major/vi - Ebm.mid,07 - Gb Major - Eb minor/1 Triad/Major/vi - Ebm.mid,1 Triad,Major,straight,vi,Ebm,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|1 Triad|Major|vi|m
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/1 Triad/Major/vi - G#m.mid,12 - B Major - G# minor/1 Triad/Major/vi - G#m.mid,1 Triad,Major,straight,vi,G#m,,12 - B Major - G# minor,12,B Major,G# minor,chord|1 Triad|Major|vi|m
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/1 Triad/Minor/III - C.mid,01 - C Major - A minor/1 Triad/Minor/III - C.mid,1 Triad,Minor,straight,III,C,,01 - C Major - A minor,1,C Major,A minor,chord|1 Triad|Minor|III|maj
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/1 Triad/Minor/III - Gb.mid,07 - Gb Major - Eb minor/1 Triad/Minor/III - Gb.mid,1 Triad,Minor,straight,III,Gb,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|1 Triad|Minor|III|maj
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/1 Triad/Minor/III - B.mid,12 - B Major - G# minor/1 Triad/Minor/III - B.mid,1 Triad,Minor,straight,III,B,,12 - B Major - G# minor,12,B Major,G# minor,chord|1 Triad|Minor|III|maj
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/1 Triad/Minor/VII - G.mid,01 - C Major - A minor/1 Triad/Minor/VII - G.mid,1 Triad,Minor,straight,VII,G,,01 - C Major - A minor,1,C Major,A minor,chord|1 Triad|Minor|VII|maj
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/1 Triad/Minor/VII - Db.mid,07 - Gb Major - Eb minor/1 Triad/Minor/VII - Db.mid,1 Triad,Minor,straight,VII,Db,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|1 Triad|Minor|VII|maj
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/1 Triad/Minor/VII - F#.mid,12 - B Major - G# minor/1 Triad/Minor/VII - F#.mid,1 Triad,Minor,straight,VII,F#,,12 - B Major - G# minor,12,B Major,G# minor,chord|1 Triad|Minor|VII|maj
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/1 Triad/Minor/VI - F.mid,01 - C Major - A minor/1 Triad/Minor/VI - F.mid,1 Triad,Minor,straight,VI,F,,01 - C Major - A minor,1,C Major,A minor,chord|1 Triad|Minor|VI|maj
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/1 Triad/Minor/VI - Cb.mid,07 - Gb Major - Eb minor/1 Triad/Minor/VI - Cb.mid,1 Triad,Minor,straight,VI,Cb,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|1 Triad|Minor|VI|maj
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/1 Triad/Minor/VI - E.mid,12 - B Major - G# minor/1 Triad/Minor/VI - E.mid,1 Triad,Minor,straight,VI,E,,12 - B Major - G# minor,12,B Major,G# minor,chord|1 Triad|Minor|VI|maj
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/1 Triad/Minor/ii - Bdim.mid,01 - C Major - A minor/1 Triad/Minor/ii - Bdim.mid,1 Triad,Minor,straight,ii,Bdim,,01 - C Major - A minor,1,C Major,A minor,chord|1 Triad|Minor|ii|dim
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/1 Triad/Minor/ii - Fdim.mid,07 - Gb Major - Eb minor/1 Triad/Minor/ii - Fdim.mid,1 Triad,Minor,straight,ii,Fdim,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|1 Triad|Minor|ii|dim
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/1 Triad/Minor/ii - A#dim.mid,12 - B Major - G# minor/1 Triad/Minor/ii - A#dim.mid,1 Triad,Minor,straight,ii,A#dim,,12 - B Major - G# minor,12,B Major,G# minor,chord|1 Triad|Minor|ii|dim
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/1 Triad/Minor/iv - Dm.mid,01 - C Major - A minor/1 Triad/Minor/iv - Dm.mid,1 Triad,Minor,straight,iv,Dm,,01 - C Major - A minor,1,C Major,A minor,chord|1 Triad|Minor|iv|m
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/1 Triad/Minor/iv - Abm.mid,07 - Gb Major - Eb minor/1 Triad/Minor/iv - Abm.mid,1 Triad,Minor,straight,iv,Abm,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|1 Triad|Minor|iv|m
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/1 Triad/Minor/iv - C#m.mid,12 - B Major - G# minor/1 Triad/Minor/iv - C#m.mid,1 Triad,Minor,straight,iv,C#m,,12 - B Major - G# minor,12,B Major,G# minor,chord|1 Triad|Minor|iv|m
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/1 Triad/Minor/i - Am.mid,01 - C Major - A minor/1 Triad/Minor/i - Am.mid,1 Triad,Minor,straight,i,Am,,01 - C Major - A minor,1,C Major,A minor,chord|1 Triad|Minor|i|m
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/1 Triad/Minor/i - Ebm.mid,07 - Gb Major - Eb minor/1 Triad/Minor/i - Ebm.mid,1 Triad,Minor,straight,i,Ebm,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|1 Triad|Minor|i|m
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/1 Triad/Minor/i - G#m.mid,12 - B Major - G# minor/1 Triad/Minor/i - G#m.mid,1 Triad,Minor,straight,i,G#m,,12 - B Major - G# minor,12,B Major,G# minor,chord|1 Triad|Minor|i|m
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/1 Triad/Minor/v - Em.mid,01 - C Major - A minor/1 Triad/Minor/v - Em.mid,1 Triad,Minor,straight,v,Em,,01 - C Major - A minor,1,C Major,A minor,chord|1 Triad|Minor|v|m
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/1 Triad/Minor/v - Bbm.mid,07 - Gb Major - Eb minor/1 Triad/Minor/v - Bbm.mid,1 Triad,Minor,straight,v,Bbm,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|1 Triad|Minor|v|m
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/1 Triad/Minor/v - D#m.mid,12 - B Major - G# minor/1 Triad/Minor/v - D#m.mid,1 Triad,Minor,straight,v,D#m,,12 - B Major - G# minor,12,B Major,G# minor,chord|1 Triad|Minor|v|m
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/2 7th and 9th/Major/IV - FM7.mid,01 - C Major - A minor/2 7th and 9th/Major/IV - FM7.mid,2 7th and 9th,Major,straight,IV,FM7,,01 - C Major - A minor,1,C Major,A minor,chord|2 7th and 9th|Major|IV|M7
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/2 7th and 9th/Major/IV - CbM7.mid,07 - Gb Major - Eb minor/2 7th and 9th/Major/IV - CbM7.mid,2 7th and 9th,Major,straight,IV,CbM7,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|2 7th and 9th|Major|IV|M7
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/2 7th and 9th/Major/IV - EM7.mid,12 - B Major - G# minor/2 7th and 9th/Major/IV - EM7.mid,2 7th and 9th,Major,straight,IV,EM7,,12 - B Major - G# minor,12,B Major,G# minor,chord|2 7th and 9th|Major|IV|M7
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/2 7th and 9th/Major/IV - FM9.mid,01 - C Major - A minor/2 7th and 9th/Major/IV - FM9.mid,2 7th and 9th,Major,straight,IV,FM9,,01 - C Major - A minor,1,C Major,A minor,chord|2 7th and 9th|Major|IV|M9
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/2 7th and 9th/Major/IV - CbM9.mid,07 - Gb Major - Eb minor/2 7th and 9th/Major/IV - CbM9.mid,2 7th and 9th,Major,straight,IV,CbM9,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|2 7th and 9th|Major|IV|M9
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/2 7th and 9th/Major/IV - EM9.mid,12 - B Major - G# minor/2 7th and 9th/Major/IV - EM9.mid,2 7th and 9th,Major,straight,IV,EM9,,12 - B Major - G# minor,12,B Major,G# minor,chord|2 7th and 9th|Major|IV|M9
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/2 7th and 9th/Major/I - CM7.mid,01 - C Major - A minor/2 7th and 9th/Major/I - CM7.mid,2 7th and 9th,Major,straight,I,CM7,,01 - C Major - A minor,1,C Major,A minor,chord|2 7th and 9th|Major|I|M7
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/2 7th and 9th/Major/I - GbM7.mid,07 - Gb Major - Eb minor/2 7th and 9th/Major/I - GbM7.mid,2 7th and 9th,Major,straight,I,GbM7,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|2 7th and 9th|Major|I|M7
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/2 7th and 9th/Major/I - BM7.mid,12 - B Major - G# minor/2 7th and 9th/Major/I - BM7.mid,2 7th and 9th,Major,straight,I,BM7,,12 - B Major - G# minor,12,B Major,G# minor,chord|2 7th and 9th|Major|I|M7
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/2 7th and 9th/Major/I - CM9.mid,01 - C Major - A minor/2 7th and 9th/Major/I - CM9.mid,2 7th and 9th,Major,straight,I,CM9,,01 - C Major - A minor,1,C Major,A minor,chord|2 7th and 9th|Major|I|M9
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/2 7th and 9th/Major/I - GbM9.mid,07 - Gb Major - Eb minor/2 7th and 9th/Major/I - GbM9.mid,2 7th and 9th,Major,straight,I,GbM9,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|2 7th and 9th|Major|I|M9
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/2 7th and 9th/Major/I - BM9.mid,12 - B Major - G# minor/2 7th and 9th/Major/I - BM9.mid,2 7th and 9th,Major,straight,I,BM9,,12 - B Major - G# minor,12,B Major,G# minor,chord|2 7th and 9th|Major|I|M9
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/2 7th and 9th/Major/V - G7.mid,01 - C Major - A minor/2 7th and 9th/Major/V - G7.mid,2 7th and 9th,Major,straight,V,G7,,01 - C Major - A minor,1,C Major,A minor,chord|2 7th and 9th|Major|V|7
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/2 7th and 9th/Major/V - Db7.mid,07 - Gb Major - Eb minor/2 7th and 9th/Major/V - Db7.mid,2 7th and 9th,Major,straight,V,Db7,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|2 7th and 9th|Major|V|7
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/2 7th and 9th/Major/V - F#7.mid,12 - B Major - G# minor/2 7th and 9th/Major/V - F#7.mid,2 7th and 9th,Major,straight,V,F#7,,12 - B Major - G# minor,12,B Major,G# minor,chord|2 7th and 9th|Major|V|7
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/2 7th and 9th/Major/V - G9.mid,01 - C Major - A minor/2 7th and 9th/Major/V - G9.mid,2 7th and 9th,Major,straight,V,G9,,01 - C Major - A minor,1,C Major,A minor,chord|2 7th and 9th|Major|V|9
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/2 7th and 9th/Major/V - Db9.mid,07 - Gb Major - Eb minor/2 7th and 9th/Major/V - Db9.mid,2 7th and 9th,Major,straight,V,Db9,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|2 7th and 9th|Major|V|9
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/2 7th and 9th/Major/V - F#9.mid,12 - B Major - G# minor/2 7th and 9th/Major/V - F#9.mid,2 7th and 9th,Major,straight,V,F#9,,12 - B Major - G# minor,12,B Major,G# minor,chord|2 7th and 9th|Major|V|9
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/2 7th and 9th/Major/iii - Em7.mid,01 - C Major - A minor/2 7th and 9th/Major/iii - Em7.mid,2 7th and 9th,Major,straight,iii,Em7,,01 - C Major - A minor,1,C Major,A minor,chord|2 7th and 9th|Major|iii|m7
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/2 7th and 9th/Major/iii - Bbm7.mid,07 - Gb Major - Eb minor/2 7th and 9th/Major/iii - Bbm7.mid,2 7th and 9th,Major,straight,iii,Bbm7,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|2 7th and 9th|Major|iii|m7
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/2 7th and 9th/Major/iii - D#m7.mid,12 - B Major - G# minor/2 7th and 9th/Major/iii - D#m7.mid,2 7th and 9th,Major,straight,iii,D#m7,,12 - B Major - G# minor,12,B Major,G# minor,chord|2 7th and 9th|Major|iii|m7
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/2 7th and 9th/Major/iii - Em9.mid,01 - C Major - A minor/2 7th and 9th/Major/iii - Em9.mid,2 7th and 9th,Major,straight,iii,Em9,,01 - C Major - A minor,1,C Major,A minor,chord|2 7th and 9th|Major|iii|m9
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/2 7th and 9th/Major/iii - Bbm9.mid,07 - Gb Major - Eb minor/2 7th and 9th/Major/iii - Bbm9.mid,2 7th and 9th,Major,straight,iii,Bbm9,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|2 7th and 9th|Major|iii|m9
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/2 7th and 9th/Major/iii - D#m9.mid,12 - B Major - G# minor/2 7th and 9th/Major/iii - D#m9.mid,2 7th and 9th,Major,straight,iii,D#m9,,12 - B Major - G# minor,12,B Major,G# minor,chord|2 7th and 9th|Major|iii|m9
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/2 7th and 9th/Major/ii - Dm7.mid,01 - C Major - A minor/2 7th and 9th/Major/ii - Dm7.mid,2 7th and 9th,Major,straight,ii,Dm7,,01 - C Major - A minor,1,C Major,A minor,chord|2 7th and 9th|Major|ii|m7
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/2 7th and 9th/Major/ii - Abm7.mid,07 - Gb Major - Eb minor/2 7th and 9th/Major/ii - Abm7.mid,2 7th and 9th,Major,straight,ii,Abm7,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|2 7th and 9th|Major|ii|m7
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/2 7th and 9th/Major/ii - C#m7.mid,12 - B Major - G# minor/2 7th and 9th/Major/ii - C#m7.mid,2 7th and 9th,Major,straight,ii,C#m7,,12 - B Major - G# minor,12,B Major,G# minor,chord|2 7th and 9th|Major|ii|m7
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/2 7th and 9th/Major/ii - Dm9.mid,01 - C Major - A minor/2 7th and 9th/Major/ii - Dm9.mid,2 7th and 9th,Major,straight,ii,Dm9,,01 - C Major - A minor,1,C Major,A minor,chord|2 7th and 9th|Major|ii|m9
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/2 7th and 9th/Major/ii - Abm9.mid,07 - Gb Major - Eb minor/2 7th and 9th/Major/ii - Abm9.mid,2 7th and 9th,Major,straight,ii,Abm9,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|2 7th and 9th|Major|ii|m9
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/2 7th and 9th/Major/ii - C#m9.mid,12 - B Major - G# minor/2 7th and 9th/Major/ii - C#m9.mid,2 7th and 9th,Major,straight,ii,C#m9,,12 - B Major - G# minor,12,B Major,G# minor,chord|2 7th and 9th|Major|ii|m9
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/2 7th and 9th/Major/vii - Bm7-5.mid,01 - C Major - A minor/2 7th and 9th/Major/vii - Bm7-5.mid,2 7th and 9th,Major,straight,vii,Bm7-5,,01 - C Major - A minor,1,C Major,A minor,chord|2 7th and 9th|Major|vii|m7-5
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/2 7th and 9th/Major/vii - Fm7-5.mid,07 - Gb Major - Eb minor/2 7th and 9th/Major/vii - Fm7-5.mid,2 7th and 9th,Major,straight,vii,Fm7-5,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|2 7th and 9th|Major|vii|m7-5
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/2 7th and 9th/Major/vii - A#m7-5.mid,12 - B Major - G# minor/2 7th and 9th/Major/vii - A#m7-5.mid,2 7th and 9th,Major,straight,vii,A#m7-5,,12 - B Major - G# minor,12,B Major,G# minor,chord|2 7th and 9th|Major|vii|m7-5
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/2 7th and 9th/Major/vii - Bm7b9b5.mid,01 - C Major - A minor/2 7th and 9th/Major/vii - Bm7b9b5.mid,2 7th and 9th,Major,straight,vii,Bm7b9b5,,01 - C Major - A minor,1,C Major,A minor,chord|2 7th and 9th|Major|vii|m7b9b5
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/2 7th and 9th/Major/vii - Fm7b9b5.mid,07 - Gb Major - Eb minor/2 7th and 9th/Major/vii - Fm7b9b5.mid,2 7th and 9th,Major,straight,vii,Fm7b9b5,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|2 7th and 9th|Major|vii|m7b9b5
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/2 7th and 9th/Major/vii - A#m7b9b5.mid,12 - B Major - G# minor/2 7th and 9th/Major/vii - A#m7b9b5.mid,2 7th and 9th,Major,straight,vii,A#m7b9b5,,12 - B Major - G# minor,12,B Major,G# minor,chord|2 7th and 9th|Major|vii|m7b9b5
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/2 7th and 9th/Major/vi - Am7.mid,01 - C Major - A minor/2 7th and 9th/Major/vi - Am7.mid,2 7th and 9th,Major,straight,vi,Am7,,01 - C Major - A minor,1,C Major,A minor,chord|2 7th and 9th|Major|vi|m7
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/2 7th and 9th/Major/vi - Ebm7.mid,07 - Gb Major - Eb minor/2 7th and 9th/Major/vi - Ebm7.mid,2 7th and 9th,Major,straight,vi,Ebm7,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|2 7th and 9th|Major|vi|m7
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/2 7th and 9th/Major/vi - G#m7.mid,12 - B Major - G# minor/2 7th and 9th/Major/vi - G#m7.mid,2 7th and 9th,Major,straight,vi,G#m7,,12 - B Major - G# minor,12,B Major,G# minor,chord|2 7th and 9th|Major|vi|m7
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/2 7th and 9th/Major/vi - Am9.mid,01 - C Major - A minor/2 7th and 9th/Major/vi - Am9.mid,2 7th and 9th,Major,straight,vi,Am9,,01 - C Major - A minor,1,C Major,A minor,chord|2 7th and 9th|Major|vi|m9
